States\UT,Pucca building,Boundary wall,Drinking water,Common toilet,toilets for girls,Blackboard,Electricity,Computer centre,TLM,1-3 classrooms
Andhra Pradesh,91.6,58.3,87.5,79.1,41.6,100,41.6,12.5,100,54
Assam,62.5,33.3,95.8,83.3,41.6,100,8.3,4.1,91.6,79
Bihar,100,52,84,64,40,92,4,8,8,36
Chandigarh,100,100,100,100,66.6,100,100,66.6,66.6,0
Haryana,92.3,92.3,84.6,84.6,61.5,92.3,76.9,7.6,38.4,15
Himachal Pradesh,69.2,46.1,84.6,76.9,46.1,84.6,69.2,15.3,38.4,46
Madhya Pradesh,100,11.1,94.4,77.7,33.3,100,16.6,5.5,100,83
Rajasthan,100,47.37,73.6,84.2,57.8,100,5.2,0,84.2,68
Tamil Nadu,73.3,70,96.6,83.3,40,96.6,62.5,33.3,93.3,50
Uttar Pradesh,96.8,59.3,100,93.7,87.5,100,15.6,3.1,90.6,53
West Bengal,95,40,95,90,45,90,35,10,70,65
All States\UT,88.2,52,90.9,82.3,50.6,96.3,40,11.3,74.6,55
