S.No,District,Village Panchayat,School Name,School_id,Category of School,Yearof establishment,School medium,Subject offered,School timing,Mailing Address,Pincode,School main area,School located in commerical area,Number of Students,Number of Boys,Number of Girls,Number of Differently abled student,Number of Staff,Community - Backward community,Community - Most Backward community,Community - Other Castes,Community-SC/ST,Community-Others,Number of Classrooms,Number of fans,Number of seats,Number of lights,Number of restrooms,Total School area,Build up area,Extent of land covered by the school,Number of Furniture_used,Number of Furniture_unused,Number of Furniture_repair,Number of boards_used,Number of boards_unused,Number of boards_repair,Number of shelves_used,Number of shelves_unused,Number of shelves_repair,Number of cupboard_used,Number of cupboard_unused,Number of cupboard_repair,Number of computer_used,Number of computer_unused,Number of printer_used,Number of printer_unused,Availabilty of Playground,Availabilty of eateries,Availabilty of Mobile eateries,Availabilty of Dining,Availabilty of Electricity Board,Availabilty of Hospital,Availabilty of Fire station,Availabilty of Natural tank,Availabilty of Recreation center,Type of Water source,Number of western toilets availble for Boys,Number of Indian toilets availble for Boys,Number of western toilets availble for Girls,Number of Indian toilets availble for Girls,Number of western toilets availble for Staffs,Number of indian toilets availble for Staffs,Sanity_condition,Status of the data set collected,Created_date,Modified_date
1,Thiruvallur,Thiruvallur,MUNICIPAL MIDDLE SCHOOL,33010105701,Secondary School,1940,Tamil,"ENGLISH,TAMIL,MATHS,SCIENCE,SOCIAL",09:30PM - 04:10PM,NULL,602001,Yes,Yes,103,NULL,NULL,8,8,NULL,NULL,NULL,NULL,NULL,4,8,250,8,2,2500,2000,2500,37,5,7,8,4,0,5,0,0,2,0,0,NULL,NULL,NULL,NULL,No,No,No,Yes,No,Yes,Yes,No,No,Own,1,1,1,1,0,1,NULL,Incompleted,03/10/2013,03/10/2013
2,Thiruvallur,Thiruvallur,MUNICIPAL PRIMARY SCHOOL RAJAJI SALAI,33010106101,Primary School,1999,Tamil,"ENGLISH,TAMIL,MATHS,SCIENCE,SOCIAL",09:10PM - 04:10PM,NULL,602001,Yes,No,87,NULL,NULL,3,3,NULL,NULL,NULL,NULL,NULL,4,8,100,10,2,2000,2000,2000,0,0,0,30,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,No,Yes,No,No,No,Yes,Yes,No,No,Own,0,1,0,1,0,1,NULL,Incompleted,03/10/2013,03/10/2013
3,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010505901,Primary School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,623707,Yes,No,130,NULL,NULL,0,4,NULL,NULL,NULL,NULL,NULL,6,10,5,13,2,98.17,49.55,98.17,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,No,Yes,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
4,Thiruvallur,Avadi,MUNICIPAL HIGH SCHOOL,33010505902,High School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,607105,Yes,No,61,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,2,5,0,7,0,4800,585,4215,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,Yes,Yes,NULL,Yes,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
5,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010506001,Primary School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,623707,No,Yes,22,NULL,NULL,0,2,NULL,NULL,NULL,NULL,NULL,2,5,0,7,0,4800,585,4215,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,Yes,Yes,NULL,No,Yes,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
6,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010506003,Middle School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,623701,Yes,No,172,NULL,NULL,3,8,NULL,NULL,NULL,NULL,NULL,6,24,220,16,1,2400,2000,400,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,No,NULL,No,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
7,Thiruvallur,Avadi,MUNICIPAL HIGH SCHOOL AVADI,33010506202,High School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,630001,Yes,Yes,335,NULL,NULL,2,18,NULL,NULL,NULL,NULL,NULL,14,0,50,0,2,117000,8702,117000,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,No,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
8,Thiruvallur,Avadi,AVADI MUNICIPAL ELEMENTARY SCHOOL,33010507001,Elementary School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,623701,Yes,No,70,NULL,NULL,0,3,NULL,NULL,NULL,NULL,NULL,6,3,300,3,0,7800,3800,4000,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,No,Yes,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
9,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010507501,Primary School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,625516,No,No,28,NULL,NULL,3,2,NULL,NULL,NULL,NULL,NULL,2,2,0,2,3,7200,2400,7200,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,No,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
10,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010509301,Middle School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,623707,No,No,255,NULL,NULL,10,11,NULL,NULL,NULL,NULL,NULL,11,7,300,7,0,8200,7020,1180,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,No,NULL,No,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
11,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010509401,Middle School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,626125,Yes,No,70,NULL,NULL,3,6,NULL,NULL,NULL,NULL,NULL,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,Yes,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
12,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010902902,Primary School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,623701,No,No,193,NULL,NULL,1,7,NULL,NULL,NULL,NULL,NULL,7,20,0,26,0,460,303,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,No,Yes,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
13,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010903201,Middle School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,625531,Yes,No,268,NULL,NULL,6,11,NULL,NULL,NULL,NULL,NULL,10,22,0,15,0,33096,25650,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,Yes,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
14,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010903202,Primary School,NULL,Tamil,"TAM,ENG,MAT,SCI,SOCIAL",09:30AM - 04:30PM,NULL,623701,Yes,No,157,NULL,NULL,8,5,NULL,NULL,NULL,NULL,NULL,8,8,8,8,0,0,5500,5500,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,No,No,Yes,NULL,No,No,No,NULL,Own,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incompleted,03/10/2013,03/10/2013
15,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010911907,Primary School,1919,Tamil,TAMIL,09:30AM - 04:09PM,NULL,600054,No,No,184,NULL,NULL,2,6,NULL,NULL,NULL,NULL,NULL,11,11,0,11,1,0,0,0,33,0,3,8,0,0,3,0,0,1,0,0,NULL,NULL,NULL,NULL,Yes,No,No,No,No,Yes,Yes,No,No,Corporation,2,2,2,2,1,1,NULL,Incompleted,03/10/2013,03/10/2013
16,Kancheepuram,Kancheepuram,OLI MOHAMAD PET MUNICIPAL MIDDLE SCHOOL,33030105403,Primary School,NULL,Tamil,"TAMIL, ENGLISH, MATHS, SCIENCE ,SOCIAL",09:20AM - 04:01PM,NULL,631502,Yes,No,309,NULL,NULL,12,12,NULL,NULL,NULL,NULL,NULL,14,14,0,14,2,20800,8050,12750,35,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,Yes,No,No,No,Yes,Yes,No,No,No,Own,1,0,1,1,1,1,NULL,Incompleted,03/10/2013,03/10/2013
17,Kancheepuram,Kancheepuram,K V K NAYAGAR MUNICIPAL MIDDLE SCHOOL,33030105405,Secondary School,1913,Tamil,"TAMIL, ENGLISH, MATHS, SCIENCE ,SOCIAL",09:20AM - 04:10PM,NULL,631502,No,No,90,NULL,NULL,3,7,NULL,NULL,NULL,NULL,NULL,7,17,4,25,4,753.5,608,145.5,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,No,No,No,Yes,No,No,No,No,No,Corporation,0,1,0,1,0,2,NULL,Incompleted,03/10/2013,03/10/2013
18,Kancheepuram,Kancheepuram,DHARGA MUSLIM MUNICIPAL PRIMARY SCHOOL,33030105408,Primary School,1934,Tamil,"TAMIL, ENGLISH, MATHS, SCIENCE ,SOCIAL,EVS",09:00AM - 04:15PM,NULL,631502,Yes,Yes,46,NULL,NULL,0,3,NULL,NULL,NULL,NULL,NULL,3,12,2,12,1,234,234,0,60,0,0,12,0,0,5,0,0,0,0,0,NULL,NULL,NULL,NULL,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Corporation,0,1,0,1,0,0,NULL,Incompleted,03/10/2013,03/10/2013
19,Kancheepuram,Kancheepuram,PUDHUPALAYAM MUNICIPAL ELEMENTARY SCHOOL,33030105411,Primary School,1934,Tamil,"TAMIL, ENGLISH, MATHS, SCIENCE ,SOCIAL",09:30AM - 04:10PM,NULL,631501,Yes,No,76,NULL,NULL,6,4,NULL,NULL,NULL,NULL,NULL,4,15,5,18,0,6019,1800,4219,6,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Own,0,3,0,3,0,3,NULL,Incompleted,03/10/2013,03/10/2013
20,Kancheepuram,Kancheepuram,OKKAPIRANTHAN MUNICIPAL MIDDLE SCHOOL,33030105428,Primary School,1921,Tamil,"ENGLISH,TAMIL,MATHS,SCIENCE,SOCIAL",09:00AM - 04:10PM,NULL,631502,Yes,Yes,107,NULL,NULL,2,7,NULL,NULL,NULL,NULL,NULL,6,12,0,12,3,1698,1698,0,25,75,0,20,0,0,1,0,0,0,0,0,NULL,NULL,NULL,NULL,No,No,No,No,No,Yes,Yes,No,No,Own,0,1,0,1,0,1,NULL,Incompleted,03/10/2013,03/10/2013
21,Kancheepuram,Kancheepuram,YAGASALAI MUNICIPAL MIDDLE SCHOOL,33030105430,Secondary School,NULL,Tamil,"ENGLISH,TAMIL,MATHS,SCIENCE,SOCIAL",09:20AM - 04:10PM,NULL,631501,Yes,Yes,250,NULL,NULL,2,9,NULL,NULL,NULL,NULL,NULL,6,17,150,12,0,1100,1100,0,3,0,0,3,0,0,3,0,0,3,0,0,NULL,NULL,NULL,NULL,No,Yes,No,Yes,No,Yes,No,Yes,No,Corporation,0,0,0,1,0,1,NULL,Incompleted,03/10/2013,03/10/2013
