State/U.T.,Primary/Junior Basic Schools(#) - Total - 2008-09,Primary/Junior Basic Schools(#) - Total - 2009-10,Primary/Junior Basic Schools(#) - Total - 2010-11,Primary/Junior Basic Schools(#) - Women - 2008-09,Primary/Junior Basic Schools(#) - Women - 2009-10,Primary/Junior Basic Schools(#) - Women - 2010-11,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2008-09,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2009-10,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2010-11,Middle/Senior Basic Schools - Total - 2008-09,Middle/Senior Basic Schools - Total - 2009-10,Middle/Senior Basic Schools - Total - 2010-11,Middle/Senior Basic Schools - Women - 2008-09,Middle/Senior Basic Schools - Women - 2009-10,Middle/Senior Basic Schools - Women - 2010-11,Middle/Senior Basic Schools - % age of Trained Teachers - 2008-09,Middle/Senior Basic Schools - % age of Trained Teachers - 2009-10,Middle/Senior Basic Schools - % age of Trained Teachers - 2010-11,High/Post Basic Schools - Total - 2008-09,High/Post Basic Schools - Total - 2009-10,High/Post Basic Schools - Total - 2010-11,High/Post Basic Schools - Women - 2008-09,High/Post Basic Schools - Women - 2009-10,High/Post Basic Schools - Women - 2010-11,High/Post Basic Schools - % age of Trained Teachers - 2008-09,High/Post Basic Schools - % age of Trained Teachers - 2009-10,High/Post Basic Schools - % age of Trained Teachers - 2010-11,Higher Secondary Schools (**) - Total - 2008-09,Higher Secondary Schools (**) - Total - 2009-10,Higher Secondary Schools (**) - Total - 2010-11,Higher Secondary Schools (**) - Women - 2008-09,Higher Secondary Schools (**) - Women - 2009-10,Higher Secondary Schools (**) - Women - 2010-11,Higher Secondary Schools (**) - % age of Trained Teachers - 2008-09,Higher Secondary Schools (**) - % age of Trained Teachers - 2009-10,Higher Secondary Schools (**) - % age of Trained Teachers - 2010-11,Total No. of Teachers in all Schools - Total - 2008-09,Total No. of Teachers in all Schools - Women - 2008-09,Total No. of Teachers in all Schools - Total - 2009-10,Total No. of Teachers in all Schools - Women - 2009-10,Total No. of Teachers in all Schools - Total - 2010-11,Total No. of Teachers in all Schools - Women - 2010-11
Andhra Pradesh,183197,169159,174069,87711,83045,87984,93,93,93,94662,90077,93003,41311,40507,42907,88,88,88,167159,187709,205179,68146,75708,83344,96,96,96,46339,46339,52046,12907,12907,14468,90,90,90,491357,493284,210075,212167,524297,228703
Arunachal Pradesh,6306,6363,6639,2145,2174,2418,11,9,7,5191,5792,5805,1836,2046,2068,17,18,16,2407,2734,2793,756,875,919,37,36,34,2442,2719,2798,550,659,679,62,60,60,16346,17608,5287,5754,18035,6084
Assam,89102,86676,86676,31265,31562,31562,64,83,83,100129,81637,81537,26129,19541,19541,90,41,41,58013,61012,61551,14363,15308,15801,29,29,29,18078,16845,17963,5384,4976,5324,29,29,29,265322,246170,77141,71387,247727,72228
Bihar,147341,141298,159910,53804,53535,62395,85,85,85,117992,124342,146645,42225,45807,56144,90,90,90,27406,25593,24186,4234,3805,3791,98,98,98,15743,31837,38722,2463,9678,11390,95,95,95,308482,323070,102726,112825,369463,133720
Chhattisgarh,96314,107481,110405,32751,39519,41681,67,72,72,45952,53995,55173,14095,18864,20040,72,74,73,15702,12206,13517,6786,4455,5190,73,68,70,22152,28303,29316,7032,9789,10329,70,78,78,180120,201985,60664,72627,208411,77240
Goa,3812,3904,3950,3389,3524,3577,94,94,94,2228,2515,2428,1606,1808,1732,100,99,100,3446,3218,3055,2028,1930,1858,100,100,100,1287,1349,1418,698,742,808,92,91,92,10773,10986,7721,8004,10851,7975
Gujarat,44480,44946,0,17474,17504,0,100,100,0,198436,199385,244331,106873,106922,124426,100,100,100,36714,42829,40048,9890,11930,12433,100,100,100,47687,43946,34881,14836,14187,11394,100,100,100,327317,331106,149073,150543,319260,148253
Haryana,22916,31574,28000,11835,15277,13170,95,95,95,15610,20128,22835,7250,8870,9550,85,85,85,25888,36947,36947,11128,16201,16201,94,94,94,38710,54459,54459,18237,NA,25699,97,97,97,103124,143108,48450,40348,142241,64620
Himachal Pradesh,30162,30336,29762,13793,13484,13535,100,100,100,26427,34389,28011,9147,14357,10630,100,100,100,6301,8841,10022,2325,4316,5238,100,100,100,16756,16885,19000,5864,5950,7735,100,100,100,79646,90451,31129,38107,86795,37138
Jammu and Kashmir,31899,59376,59376,13077,23466,23466,53,40,40,50232,45151,45151,21096,20144,20144,61,48,48,19358,25370,25370,7633,11060,11060,64,54,54,10161,18489,18489,3988,7732,7732,66,59,59,111650,148386,45794,62402,148386,62402
Jharkhand,50537,50537,0,18563,18563,0,100,100,100,53800,53800,0,10105,10105,0,100,100,100,9178,9178,0,2700,2700,0,100,100,100,4057,4057,0,1822,1822,0,100,100,100,117572,117572,33190,33190,0,0
Karnataka,62540,59457,61049,30481,28883,30502,100,100,100,214354,223272,236583,120960,128109,137359,100,100,100,99106,109503,124135,43125,49992,57513,100,100,100,23229,26622,26622,7098,8416,8416,100,100,100,399229,418854,201664,215400,448389,233790
Kerala,40850,40069,39333,24405,30280,29793,100,100,100,44726,44136,43278,31186,30944,30348,100,100,100,101932,97141,47580,73012,69332,36134,100,100,100,16770,27350,96249,13352,21783,65662,100,100,100,204278,208696,141955,152339,226440,161937
Madhya Pradesh,292062,292062,191705,90641,90641,59542,90,90,84,142395,142395,82202,30920,30920,24998,90,90,80,42340,46948,54056,16554,19010,22822,76,78,78,62895,68353,66857,23952,27773,28587,79,78,79,539692,549758,162067,168344,394820,135949
Maharashtra,195350,199415,201539,121900,122361,122789,99,96,99,206673,205769,207455,96927,96785,99295,96,96,96,187957,282957,166656,59020,89020,52431,96,96,96,129062,15055,131356,41037,5231,41820,99,99,99,719042,703196,318884,313397,707006,316335
Manipur,7675,7667,7932,2972,2959,3193,36,36,35,8584,8597,8234,3527,3536,3503,35,35,36,8719,8750,8715,3516,3530,3604,42,42,44,2996,3006,3198,1351,1366,1493,38,43,47,27974,28020,11366,11391,28079,11793
Meghalaya,14034,14745,14763,6477,9985,9992,45,45,45,9407,9407,9407,4335,5091,5091,36,36,36,4445,4837,4837,1878,2543,2543,36,36,36,1155,1344,1341,626,710,713,36,36,36,29041,30333,13316,18329,30348,18339
