STATE,DISTRICT,PRIMARY SCHOOL,UPPER PRIMARY SCHOOL,SECONDARY SCHOOL ,HIGHER SECONDARY SCHOOL
TAMILNADU,TIRUVALLUR,671,368,270,266
,CHENNAI,606,176,203,449
,KANCHIPURAM,400,103,152,218
,VELLORE,1988,557,223,247
,DHARMAPURI,855,407,91,109
,TIRUVANNAMALAI,1479,426,211,146
,SALEM ,1361,437,201,221
,NAMMAKAL,785,206,111,155
,ERODE,974,315,116,168
,NILGIRI HQ UDHAGAMANDALAM,431,117,105,78
,COIMBATORE,1045,303,212,272
,DINDUGAL,1216,299,129,159
,KARUR,618,201,66,68
,TIRUCHIRAPALLI,1211,365,169,188
,PERAMBALUR,250,103,43,49
,CUDDALORE,1174,415,129,164
,NAGAPATTINAM,893,294,115,104
,TIRUVARUR,747,267,78,84
,VILLUPURAM,158,44,38,68
,PUTTHUKKOTAI,1215,363,148,117
,TANJAVUR,338,326,195,150
,SIVAGANGA,923,330,114,109
,MADURAI,1289,386,156,241
,THENI,485,187,79,94
,VIRUDHUNAGAR,1051,283,106,152
,RAMANATHAPURAM,1021,240,88,98
,THOOTHUKUDI,1144,329,104,137
,TIRUNELVELI,1728,437,174,247
,KANYAKUMARI HQ NAGERKOVIL,522,165,203,182
,ARIYALUR,441,146,73,50
,KRISHNAGIRI,96,25,20,35
,TIRUPUR,1087,323,116,146
