Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,983,1108,2091,44,78,122
2,Andhra Pradesh,25400,11091,36491,8518,4086,12604
3,Arunachal Pradesh,1899,598,2497,182,135,317
4,0,13603,7520,21123,643,515,1158
5,Bihar,14961,,20265,fd,580,2228
6,Chandigarh,555,2848,3403, ,647,845
7,Chhattisgarh,11717,9981,21698,6158,4901,11059
8,Dadra  Nagar Haveli,110,155,265,73,119,192
9,Daman  Diu,113,75,188,39,28,67
10,Delhi,18890,44325,63215,688,1619,2307
11,Goa,497,526,1023,49,138,187
12,Gujarat,30992,16305,47297,817,528,1345
13,Haryana,26865,32646,59511,4272,5645,9917
14,Himachal Pradesh,13305,11069,24374,3299,2875,6174
15,Jammu  Kashmir,10017,7623,17640,1494,981,2475
16,Jharkhand,4081,3073,7154,339,301,640
17,Karnataka,16836,10407,27243,2141,1455,3596
18,Kerala,28761,72015,100776,1343,3375,4718
19,Lakshadweep,242,131,373,56,54,110
20,Madhya Pradesh,41621,39486,81107,2731,2434,5165
21,Maharashtra,75215,31586,106801,6278,3671,9949
22,Manipur,1944,1712,3656,340,304,644
23,Meghalaya,1120,1332,2452,62,77,139
24,Mizoram,763,563,1326,199,162,361
25,Nagaland,1386,1731,3117,103,125,228
26,Orissa,4600,2712,7312,386,338,724
27,Puducherry,1661,2719,4380,69,132,201
28,Punjab,17234,34183,51417,1815,5200,7015
29,Rajasthan,58722,26332,85054,5602,2351,7953
30,Sikkim,889,999,1888,103,105,208
31,Tamil Nadu,55564,108693,164257,4667,14569,19236
32,Tripura,6633,3863,10496,76,99,175
33,Uttar Pradesh,92107,42980,135087,8582,4935,13517
34,Uttarakhand,19162,9418,28580,715,835,1550
35,West Bengal,67507,38291,105798,8853,10732,19585
INDIA,INDIA,665955,583400,1249355,72582,74129,146711
