Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers -  Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,34,105,139,1,10,11
2,Andhra Pradesh,13890,32583,46473,2523,6225,8748
3,Arunachal Pradesh,226,444,670,105,229,334
4,Assam,2534,6238,8772,58,130,188
5,Bihar,3098,3841,6939,650,1205,1855
6,Chandigarh,21,171,192,15,60,75
7,Chhattisgarh,2743,4217,6960,1018,1778,2796
8,Dadra  Nagar Haveli,1,5,6,1,12,13
9,Daman  Diu,15,86,101,0,22,22
10,Delhi,6809,16262,23071,651,1610,2261
11,Goa,82,1227,1309,21,161,182
12,Gujarat,1183,3239,4422,78,234,312
13,Haryana,1002,3606,4608,180,621,801
14,Himachal Pradesh,156,841,997,13,93,106
15,Jammu  Kashmir,666,2063,2729,212,346,558
16,Jharkhand,495,993,1488,538,758,1296
17,Karnataka,3240,8434,11674,559,1350,1909
18,Kerala,1811,7292,9103,24,130,154
19,Lakshadweep,45,44,89,5,7,12
20,Madhya Pradesh,11020,19643,30663,564,1260,1824
21,Maharashtra,11549,28910,40459,1099,1932,3031
22,Manipur,443,666,1109,19,22,41
23,Meghalaya,401,1364,1765,34,198,232
24,Mizoram,592,1324,1916,196,392,588
25,Nagaland,251,614,865,18,33,51
26,Orissa,1587,4890,6477,278,980,1258
27,Puducherry,258,673,931,3,33,36
28,Punjab,1007,4954,5961,197,981,1178
29,Rajasthan,3645,5773,9418,315,481,796
30,Sikkim,21,89,110,1,7,8
31,Tamil Nadu,4635,44374,49009,573,6743,7316
32,Tripura,307,320,627,86,64,150
33,Uttar Pradesh,34045,45062,79107,6427,11508,17935
34,Uttarakhand,1234,4337,5571,235,695,930
35,West Bengal,12053,13729,25782,987,1568,2555
INDIA,INDIA,121099,268413,389512,17684,41878,59562
