Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,112,203,315,1,0,1
2,Andhra Pradesh,32350,45042,77392,3805,4687,8492
3,Arunachal Pradesh,458,390,848,119,122,241
4,Assam,4109,4679,8788,277,431,708
5,Bihar,3670,1706,5376,467,239,706
6,Chandigarh,255,1407,1662,111,281,392
7,Chhattisgarh,1245,2007,3252,383,677,1060
8,Dadra  Nagar Haveli,9,23,32,3,8,11
9,Daman  Diu,73,80,153,16,10,26
10,Delhi,3066,6709,9775,221,298,519
11,Goa,890,2574,3464,50,229,279
12,Gujarat,6371,4822,11193,424,485,909
13,Haryana,3113,7629,10742,449,819,1268
14,Himachal Pradesh,665,1578,2243,69,143,212
15,Jammu  Kashmir,3173,7419,10592,320,515,835
16,Jharkhand,2669,3383,6052,221,300,521
17,Karnataka,19760,34967,54727,2668,3217,5885
18,Kerala,1789,7919,9708,57,215,272
19,Lakshadweep,0,0,0,0,0,0
20,Madhya Pradesh,8507,12540,21047,665,868,1533
21,Maharashtra,30147,38912,69059,2313,3182,5495
22,Manipur,1777,2017,3794,155,138,293
23,Meghalaya,764,1371,2135,93,151,244
24,Mizoram,1227,838,2065,178,185,363
25,Nagaland,992,1213,2205,152,160,312
26,Orissa,6637,6749,13386,801,1166,1967
27,Puducherry,560,1299,1859,12,100,112
28,Punjab,3155,13974,17129,457,1907,2364
29,Rajasthan,13757,11882,25639,1494,1113,2607
30,Sikkim,53,123,176,23,32,55
31,Tamil Nadu,5642,24374,30016,741,3498,4239
32,Tripura,579,513,1092,50,19,69
33,Uttar Pradesh,8660,7681,16341,1049,1158,2207
34,Uttarakhand,599,809,1408,39,86,125
35,West Bengal,6881,8513,15394,680,1448,2128
INDIA,INDIA,173714,265345,439059,18563,27887,46450
