Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,294,390,684,15,22,37
2,Andhra Pradesh,35979,24861,60840,10277,9536,19813
3,Arunachal Pradesh,2210,836,3046,1407,781,2188
4,Assam,43701,11730,55431,666,283,949
5,Bihar,71802,34590,106392,22704,18935,41639
6,Chandigarh,14,18,32,15,20,35
7,Chhattisgarh,18099,4909,23008,15916,9850,25766
8,Dadra  Nagar Haveli,246,236,482,75,116,191
9,Daman  Diu,61,87,148,16,12,28
10,Delhi,62,148,210,1,4,5
11,Goa,75,171,246,2,14,16
12,Gujarat,80756,69677,150433,1770,2391,4161
13,Haryana,7569,4561,12130,2465,1598,4063
14,Himachal Pradesh,5947,3860,9807,2586,1413,3999
15,Jammu  Kashmir,24818,13826,38644,6154,3705,9859
16,Jharkhand,22440,6484,28924,27751,8035,35786
17,Karnataka,69245,60865,130110,3036,4503,7539
18,Kerala,10355,23921,34276,444,1079,1523
19,Lakshadweep,59,35,94,11,12,23
20,Madhya Pradesh,65359,29930,95289,6501,3759,10260
21,Maharashtra,77107,44002,121109,7143,5573,12716
22,Manipur,2913,1758,4671,567,453,1020
23,Meghalaya,4524,3571,8095,609,511,1120
24,Mizoram,2162,757,2919,835,423,1258
25,Nagaland,2393,1206,3599,391,328,719
26,Orissa,31278,14350,45628,15341,11012,26353
27,Puducherry,246,365,611,9,11,20
28,Punjab,6410,7448,13858,1544,3002,4546
29,Rajasthan,110211,39927,150138,9407,4553,13960
30,Sikkim,1141,962,2103,112,144,256
31,Tamil Nadu,17235,29224,46459,177,374,551
32,Tripura,5079,1272,6351,1289,329,1618
33,Uttar Pradesh,113389,46096,159485,7494,4160,11654
34,Uttarakhand,8200,4838,13038,359,517,876
35,West Bengal,3225,1687,4912,837,362,1199
INDIA,INDIA,844604,488598,1333202,147926,97820,245746
