Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,36,89,125,1,7,8
2,Andhra Pradesh,7652,13560,21212,1822,3289,5111
3,Arunachal Pradesh,783,1237,2020,199,382,581
4,Assam,2190,2320,4510,52,53,105
5,Bihar,4935,6321,11256,820,1062,1882
6,Chandigarh,34,261,295,31,71,102
7,Chhattisgarh,3689,4926,8615,749,1808,2557
8,Dadra  Nagar Haveli,38,105,143,15,70,85
9,Daman  Diu,13,33,46,1,5,6
10,Delhi,1148,5744,6892,44,329,373
11,Goa,32,200,232,3,16,19
12,Gujarat,12633,34447,47080,922,3000,3922
13,Haryana,915,3223,4138,127,458,585
14,Himachal Pradesh,152,515,667,28,110,138
15,Jammu  Kashmir,2472,6515,8987,406,544,950
16,Jharkhand,2033,3521,5554,746,860,1606
17,Karnataka,17074,39680,56754,2017,3391,5408
18,Kerala,2209,7027,9236,71,217,288
19,Lakshadweep,39,23,62,7,8,15
20,Madhya Pradesh,21517,38204,59721,1816,3897,5713
21,Maharashtra,20676,46740,67416,1800,3328,5128
22,Manipur,624,902,1526,87,89,176
23,Meghalaya,441,840,1281,29,81,110
24,Mizoram,1717,1621,3338,286,365,651
25,Nagaland,357,514,871,44,87,131
26,Orissa,2666,5859,8525,349,1012,1361
27,Puducherry,216,661,877,11,29,40
28,Punjab,1104,4661,5765,229,1045,1274
29,Rajasthan,17783,22558,40341,2028,2378,4406
30,Sikkim,25,51,76,2,4,6
31,Tamil Nadu,4271,18194,22465,82,734,816
32,Tripura,273,339,612,63,39,102
33,Uttar Pradesh,25195,29787,54982,3282,4126,7408
34,Uttarakhand,1075,2394,3469,195,455,650
35,West Bengal,698,580,1278,101,109,210
INDIA,INDIA,156715,303652,460367,18465,33458,51923
